,Date,Continent_Name,ConfirmedCases,ConfirmedDeaths,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,GovernmentResponseIndexForDisplay,StringencyIndexForDisplay,ConfirmedCases_100K,ConfirmedDeaths_100K,Average14_100K,CumulativeVaccine,PeopleVaccinated,CumulativeVaccine_100K,PeopleVaccinated_100K,CumulativeTests,CumulativeTests_100K
68,2020-01-12,Europe,0.0,0.0,0.15191489361702126,0.0,0.13297872340425532,0.0,0.0,0.0,,,,,,,
69,2020-01-12,North America,0.0,0.0,0.1552173913043478,0.0,0.1356521739130435,0.0,0.0,0.0,,,,,,1343.0,0.22944850890827773
70,2020-01-12,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
71,2020-01-12,South America,0.0,0.0,0.39666666666666667,0.0,0.3475,0.0,0.0,0.0,,,,,,293.0,0.06860810221458923
72,2020-01-13,Africa,0.0,0.0,0.07139999999999999,0.0,0.062400000000000004,0.1112,0.0,0.0,,,,,,,
73,2020-01-13,Asia,0.0,0.0,1.7189795918367348,0.0,1.5040816326530613,1.6440816326530612,0.0,0.0,,,,,,64.0,0.0013655431247459901
74,2020-01-13,Europe,0.0,0.0,0.15191489361702126,0.0,0.13297872340425532,0.0,0.0,0.0,,,,,,,
75,2020-01-13,North America,0.0,0.0,0.1552173913043478,0.0,0.1356521739130435,0.0,0.0,0.0,,,,,,1568.0,0.26788924941785514
76,2020-01-13,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
77,2020-01-13,South America,0.0,0.0,0.39666666666666667,0.0,0.3475,0.0,0.0,0.0,,,,,,305.0,0.07141799035989663
78,2020-01-14,Africa,0.0,0.0,0.07139999999999999,0.0,0.062400000000000004,0.1112,0.0,0.0,,,,,,,
79,2020-01-14,Asia,0.0,0.0,1.8889795918367347,0.0,1.652857142857143,1.6440816326530612,0.0,0.0,,,,,,71.0,0.0015148994040150828
80,2020-01-14,Europe,0.0,0.0,0.32914893617021274,0.0,0.2880851063829787,0.0,0.0,0.0,,,,,,,
81,2020-01-14,North America,0.0,0.0,0.1552173913043478,0.0,0.1356521739130435,0.0,0.0,0.0,,,,,,1807.0,0.3087218582258063
82,2020-01-14,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
83,2020-01-14,South America,0.0,0.0,0.39666666666666667,0.0,0.3475,0.0,0.0,0.0,,,,,,0.0,0.0
84,2020-01-15,Africa,0.0,0.0,0.07139999999999999,0.0,0.062400000000000004,0.1112,0.0,0.0,0.0,,,,,,
85,2020-01-15,Asia,0.0,0.0,2.19265306122449,0.0,1.9185714285714286,1.9273469387755102,0.0,0.0,0.0,,,,,83.0,0.001770938739904956
86,2020-01-15,Europe,0.0,0.0,0.32914893617021274,0.0,0.2880851063829787,0.0,0.0,0.0,0.0,,,,,,
